lr_accuracy,lr_precision_risk,lr_recall_risk,lr_f1_risk,lr_roc_auc,rf_accuracy,rf_precision_risk,rf_recall_risk,rf_f1_risk,rf_roc_auc,run_index,run_seed
0.49384415313203034,0.1629488272131026,0.5192466643051128,0.2480539259927798,0.5053520071934691,0.4291531794925342,0.18252370103623136,0.7331444090211359,0.2922810775187412,0.5436127143701864,0,191664963
0.48804427273676515,0.16550028029439953,0.5403235328846381,0.25338815288564026,0.5094111234595253,0.4258308257472923,0.1819058331994215,0.7351517298382335,0.29164666065510414,0.5442230317707746,1,1662057957
0.48887011495343957,0.16297757323398349,0.5268626756405715,0.24894691327028762,0.5049559462709344,0.4279381472657029,0.18234871479053946,0.7342071082772464,0.29214090231039386,0.5396710637676303,2,1405681631
0.4802794574121712,0.16522355024347057,0.5508914865981817,0.25420565839837633,0.5105907908738883,0.4242550808281204,0.1828155156651333,0.7437714015822411,0.29349206164311753,0.5425999753256096,3,942484272
0.5136928436500328,0.16360283298346118,0.49232494981697955,0.2455933675948696,0.5057915570864614,0.42962780145614016,0.1826299298312714,0.7329672924784508,0.29240317015438605,0.5417419720993956,4,929893137
0.47704253562037835,0.16429099355928625,0.5511866808359901,0.25313160891491787,0.5099518725977984,0.4293904904743372,0.1827773695811903,0.7343251859723698,0.292700145902951,0.5452349888305932,5,1843824992
0.4712901174214738,0.16464786295206782,0.5617546345495336,0.2546568889840488,0.5111942847729734,0.42306852591910543,0.18220830433774066,0.7420002361553902,0.2925716414088507,0.5438621701792468,6,184566854
0.4825481503982078,0.16319469343850843,0.537430629354115,0.2503644214637366,0.5055293310856568,0.43370005790387955,0.182718873473753,0.7262368638564175,0.29197721338713506,0.542208652723188,7,1497586438
0.48339297749342647,0.16652136006974716,0.5525445743299091,0.2559166541337964,0.511733554083557,0.42898231558563604,0.182512745919102,0.7333805644113827,0.2922857915975482,0.5444279835651138,8,432652533
0.4903604279191624,0.1656507578376608,0.5374896682016767,0.25325117876962877,0.5106463775692656,0.42135039441085176,0.18347977393980355,0.7532766560396741,0.2950842420528002,0.5436977550457012,9,202244314
0.4791403646995168,0.1643037929874865,0.5480576219152202,0.25281533831719705,0.5081275749460903,0.42899180802490816,0.1818891146247387,0.7294249616247491,0.29117175716440424,0.5434271171994587,10,1130604997
0.477488680266168,0.16303828808913254,0.5442791356712717,0.25091517766013904,0.5080782344457913,0.42455883888482826,0.18105751960397776,0.7320226709174636,0.29031011835774245,0.5396764201294972,11,2095133045
0.47894102347480233,0.16554458935495242,0.5545518951470068,0.2549743478378892,0.508147574323147,0.42784322287298165,0.18200496030290134,0.7321997874601488,0.2915408032534468,0.5414952402150397,12,1580016183
0.48433272898136637,0.16414531603722735,0.539378911323651,0.25169430822634853,0.5100725386557938,0.43239959372359915,0.18285553598650228,0.7294249616247491,0.29240873321105265,0.5453729426950978,13,1634535062
0.480659154983056,0.16547106647537063,0.5515409139213603,0.2545677498467198,0.511847484454734,0.4299695292699365,0.18312778373928765,0.7355059629236037,0.2932432591476691,0.5438162835006126,14,1540770719
0.48058321546887905,0.16486596767612255,0.5486480103908372,0.2535434145010573,0.5085772405565193,0.4289538382678197,0.1823833739968841,0.7326130593930806,0.2920589342873282,0.5418978368206053,15,1688060240
0.49603690660389,0.16352400275487222,0.5186562758294958,0.2486520145483364,0.5066663659731594,0.43105166734695816,0.18232191143224433,0.7284803400637619,0.29165041659280266,0.5430183178053131,16,1102145672
0.49778351542996,0.16283909188054216,0.5128114299208879,0.2471862149432974,0.5032798270513092,0.4247866574273591,0.18045817170460368,0.7278309127405833,0.289209763879277,0.5369459614114015,17,275121930
0.4923443477270354,0.16304588374151668,0.5219624512929507,0.24847530985638405,0.5050843103044218,0.4264573267392522,0.18289748114872453,0.7403471484236628,0.2933299025742389,0.5438076880122983,18,1803345590
0.48735132466990044,0.16427562221497663,0.5354233085370174,0.2514138389886893,0.5076335609165412,0.41899626947136603,0.18316371079715435,0.7554610933994569,0.29484210647588105,0.5443336682565372,19,967196436
0.490094639619543,0.16371948431928315,0.5285748022198606,0.25000349049886206,0.5095710737338959,0.43786723874434014,0.18256077601093143,0.7177943086550951,0.2910875680852337,0.5456029781030071,20,1074497555
0.5061178771108812,0.16465663882571052,0.5086196717440076,0.24877633231782148,0.5068508292325979,0.4309662353935091,0.1824196597353497,0.729247845082064,0.2918369757826344,0.5412456047698565,21,796282693
